pokemon,format,played,won,lost,moves,win_rate,usage,Pdex,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Abomasnow,[Gen 4] OU,7262,3665,3693,"[('Avalanche', 49), ('Blizzard', 1827), ('Block', 3), ('Brick Break', 33), ('Bullet Seed', 1), ('Earthquake', 771), ('Energy Ball', 73), ('Fling', 5), ('Focus Blast', 109), ('Focus Punch', 197), ('Giga Drain', 95), ('Grass Knot', 156), ('Grass Whistle', 10), ('Hidden Power', 232), ('Ice Beam', 19), ('Ice Punch', 19), ('Ice Shard', 2404), ('Icy Wind', 5), ('Ingrain', 4), ('Iron Tail', 2), ('Leech Seed', 2846), ('Light Screen', 16), ('Outrage', 8), ('Protect', 2742), ('Razor Leaf', 1), ('Rest', 2), ('Rock Slide', 5), ('Seed Bomb', 373), ('Shadow Ball', 7), ('Sleep Talk', 2), ('Struggle', 1), ('Substitute', 314), ('Swords Dance', 88), ('Synthesis', 5), ('Toxic', 22), ('Water Pulse', 3), ('Wood Hammer', 1602)]",49.809730905137265,4.23640319917862,460,Grass,Ice,494.0,90.0,92.0,75.0,92.0,85.0,60.0
Abomasnow,[Gen 4] UBERS,223,104,129,"[('Avalanche', 4), ('Blizzard', 58), ('Brick Break', 2), ('Earthquake', 12), ('Energy Ball', 5), ('Focus Blast', 6), ('Focus Punch', 1), ('Giga Drain', 20), ('Grass Knot', 6), ('Grass Whistle', 4), ('Hidden Power', 1), ('Ice Beam', 8), ('Ice Punch', 6), ('Ice Shard', 61), ('Ingrain', 1), ('Leech Seed', 68), ('Mist', 1), ('Protect', 64), ('Rock Slide', 2), ('Rock Tomb', 1), ('Seed Bomb', 11), ('Shadow Ball', 2), ('Sleep Talk', 1), ('Substitute', 11), ('Swords Dance', 9), ('Synthesis', 3), ('Toxic', 2), ('Water Pulse', 3), ('Wood Hammer', 31)]",44.63519313304721,1.6303553151045473,460,Grass,Ice,494.0,90.0,92.0,75.0,92.0,85.0,60.0
Abomasnow,[Gen 4] UU,24,21,4,"[('Blizzard', 5), ('Earthquake', 1), ('Focus Punch', 2), ('Ice Shard', 15), ('Leech Seed', 9), ('Protect', 9), ('Swords Dance', 2), ('Wood Hammer', 15)]",84.0,0.33722073907545314,460,Grass,Ice,494.0,90.0,92.0,75.0,92.0,85.0,60.0
Abra,[Gen 1] NU,88,48,50,"[('Counter', 7), ('Flash', 1), ('Psychic', 72), ('Reflect', 3), ('Seismic Toss', 26), ('Substitute', 9), ('Thunder Wave', 53)]",48.97959183673469,3.9391226499552374,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 1] OU,360,239,237,"[('Agility', 1), ('Amnesia', 1), ('Barrage', 1), ('Barrier', 1), ('Bide', 2), ('Blizzard', 2), ('Body Slam', 33), ('Clamp', 1), ('Comet Punch', 1), ('Confuse Ray', 1), ('Constrict', 2), ('Counter', 19), ('Crabhammer', 1), ('Dig', 1), ('Double Kick', 1), ('Double Slap', 1), ('Double Team', 2), ('Dream Eater', 1), ('Drill Peck', 1), ('Earthquake', 1), ('Fire Blast', 1), ('Fire Spin', 1), ('Fissure', 2), ('Flash', 4), ('Fury Swipes', 2), ('Glare', 1), ('Growth', 2), ('Headbutt', 2), ('High Jump Kick', 1), ('Horn Attack', 1), ('Ice Punch', 1), ('Leech Life', 3), ('Meditate', 2), ('Mega Kick', 6), ('Mega Punch', 1), ('Metronome', 17), ('Mimic', 2), ('Minimize', 1), ('Mirror Move', 1), ('Mist', 1), ('Peck', 1), ('Poison Powder', 1), ('Poison Sting', 1), ('Psybeam', 1), ('Psychic', 244), ('Psywave', 2), ('Rage', 2), ('Reflect', 17), ('Rest', 13), ('Roar', 1), ('Screech', 1), ('Seismic Toss', 102), ('Skull Bash', 2), ('Sky Attack', 1), ('Slash', 1), ('Solar Beam', 1), ('Sonic Boom', 1), ('Spore', 1), ('Submission', 1), ('Substitute', 41), ('Supersonic', 1), ('Surf', 1), ('Swords Dance', 1), ('Tackle', 1), ('Tail Whip', 1), ('Teleport', 5), ('Thunder', 1), ('Thunder Punch', 3), ('Thunder Shock', 1), ('Thunder Wave', 230), ('Toxic', 4), ('Transform', 1), ('Tri Attack', 3), ('Vine Whip', 1), ('Whirlwind', 1), ('Wing Attack', 1), ('Withdraw', 1)]",50.21008403361344,0.41749295480638765,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 1] UBERS,15,3,12,"[('Counter', 1), ('Flash', 6), ('Psychic', 3), ('Seismic Toss', 2), ('Teleport', 10), ('Thunder Wave', 2), ('Tri Attack', 1)]",20.0,0.39703546850185284,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 1] UU,54,41,33,"[('Aurora Beam', 1), ('Body Slam', 1), ('Counter', 1), ('Dig', 1), ('Ice Punch', 2), ('Mega Kick', 1), ('Metronome', 2), ('Psychic', 48), ('Reflect', 5), ('Seismic Toss', 19), ('Substitute', 8), ('Thunder Punch', 2), ('Thunder Wave', 33), ('Whirlwind', 1)]",55.4054054054054,1.9347903977069152,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 2] NU,66,32,43,"[('Dynamic Punch', 1), ('Encore', 5), ('Fire Punch', 3), ('Hidden Power', 14), ('Ice Punch', 9), ('Light Screen', 4), ('Psychic', 49), ('Substitute', 10), ('Swagger', 1), ('Thief', 23), ('Thunder Punch', 5), ('Thunder Wave', 13)]",42.66666666666667,4.874446085672083,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 2] OU,164,78,108,"[('Double-Edge', 1), ('Dynamic Punch', 1), ('Encore', 5), ('Fire Punch', 23), ('Hidden Power', 9), ('Ice Punch', 11), ('Light Screen', 2), ('Mega Kick', 1), ('Metronome', 1), ('Protect', 3), ('Psychic', 94), ('Rest', 3), ('Seismic Toss', 1), ('Shadow Ball', 2), ('Sleep Talk', 1), ('Substitute', 4), ('Teleport', 2), ('Thief', 10), ('Thunder Punch', 45), ('Thunder Wave', 85), ('Toxic', 2), ('Tri Attack', 1)]",41.935483870967744,0.38081969116451875,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
Abra,[Gen 2] UBERS,15,4,11,"[('Dynamic Punch', 1), ('Encore', 1), ('Fire Punch', 2), ('Hidden Power', 2), ('Protect', 1), ('Psychic', 7), ('Shadow Ball', 3), ('Substitute', 2), ('Thunder Punch', 4), ('Thunder Wave', 2), ('Toxic', 2)]",26.666666666666668,0.6170300287947347,63,Psychic,,310.0,25.0,20.0,15.0,105.0,55.0,90.0
